review,rating,date,bank,source,language
love,3,2025-06-06,Dashen Bank,Google Play,en
መቸሸጠ,5,2025-06-03,Dashen Bank,Google Play,en
wow,5,2025-06-03,Dashen Bank,Google Play,en
gadaa,5,2025-06-01,Dashen Bank,Google Play,en
Massive upgrade from the Amole app.,5,2025-05-31,Dashen Bank,Google Play,en
good,4,2025-05-31,Dashen Bank,Google Play,en
very good for this app,5,2025-05-31,Dashen Bank,Google Play,en
top,5,2025-05-31,Dashen Bank,Google Play,en
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,Dashen Bank,Google Play,en
Wow,5,2025-05-30,Dashen Bank,Google Play,en
good,5,2025-05-30,Dashen Bank,Google Play,en
wow to it saff and this app,5,2025-05-30,Dashen Bank,Google Play,en
it too slow,3,2025-05-29,Dashen Bank,Google Play,en
ዳሽን ባንክ ይለያል,4,2025-05-28,Dashen Bank,Google Play,en
real life changer,5,2025-05-28,Dashen Bank,Google Play,en
👍👍👍,5,2025-05-28,Dashen Bank,Google Play,en
good,5,2025-05-28,Dashen Bank,Google Play,en
nice application,5,2025-05-27,Dashen Bank,Google Play,en
good,5,2025-05-27,Dashen Bank,Google Play,en
wow,5,2025-05-27,Dashen Bank,Google Play,en
useless app ever loading take long,1,2025-05-27,Dashen Bank,Google Play,en
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,Dashen Bank,Google Play,en
very useful App,1,2025-05-26,Dashen Bank,Google Play,en
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,Dashen Bank,Google Play,en
Wawww,5,2025-05-24,Dashen Bank,Google Play,en
it is good but some times says duplicate transaction why?,5,2025-05-24,Dashen Bank,Google Play,en
very Nice,5,2025-05-23,Dashen Bank,Google Play,en
its best,5,2025-05-23,Dashen Bank,Google Play,en
it is not as good as to the other mobile bank app.,1,2025-05-22,Dashen Bank,Google Play,en
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,Dashen Bank,Google Play,en
wow,5,2025-05-20,Dashen Bank,Google Play,en
Nothing is changed in the updated version. You have been collecting comments but where is the feed back you improved in this version. superapp is mot functioning today.,4,2025-05-20,Dashen Bank,Google Play,en
good,5,2025-05-20,Dashen Bank,Google Play,en
its best,5,2025-05-19,Dashen Bank,Google Play,en
The best app ever in finance sector,5,2025-05-18,Dashen Bank,Google Play,en
Its good app than other compitators but it confuse when we transfer it needs OTP and PIN most user inter their pin instead of OTP we know the litrecy level of our society so if it is device based i dont know the needs of OTP so please try to fix,3,2025-05-18,Dashen Bank,Google Play,en
dashen bank or dashen super app?,1,2025-05-17,Dashen Bank,Google Play,en
wowwwe app,5,2025-05-17,Dashen Bank,Google Play,en
