Topic,Keywords
1,"bank, dashen, fast, super, app, changer, game, banking"
2,"application, used, developer, just, sure, app, doesn, work"
3,"shot, branch, speed, thanks, screen, useful, app, thank"
4,"needs, use, haven, interesting, super, dashen, bank, app"
5,"software, sad, banking, finance, bank, loved, app, best"
6,"features, user, friendly, country, waw, app, amazing, wow"
7,"busy, ተመችቶኛል, safe, okay, ምርጥ, app, convenient, fast"
8,"access, single, bank, app, pay, ethiopia, easily, able"
9,"way, week, great, thank, ui, app, job, good"
10,"mode, transaction, international, money, turn, options, app, developer"
11,"wish, samsung, easily, good, idea, issues, app, bank"
12,"experience, best, ve, digital, highly, app, smooth, used"
13,"nic, dont, developer, fix, money, transfer, app, times"
14,"software, ብር, long, new, functional, don, app, slow"
15,"don, make, life, disable, banking, seen, worst, app"
16,"transaction, awesome, perfect, smart, bank, app, love, boa"
17,"አንድ, fine, crashes, security, everytime, star, worest, app"
18,"need, app, good, needs, improvement, bank, screenshot, make"
19,"need, really, try, solve, birr, bank, app, cbe"
20,"dashen, bank, አይሰራም, fast, simple, app, easy, use"
21,"developer, work, cbe, unreliable, use, app, mobile, banking"
22,"application, use, fastest, amazing, app, platform, satisfied, apps"
23,"fix, did, long, know, problem, useless, app, excellent"
24,"friendly, setting, app, user, customer, poor, service, application"
25,"download, receipt, crashes, better, frequently, bank, app, bad"
26,"እና, አፕ, አሪፍ, ነገር, ግን, ጥሩ, በጣም, ነው"
27,"superapp, money, proud, bank, banking, app, experience, dashen"
28,"user, head, seamless, statement, banking, dashen, app, features"
29,"cbe, stop, commercial, money, needs, bank, account, otp"
30,"active, bank, apps, screen, possible, network, yes, fix"
31,"user, amazing, banking, experience, super, dashen, app, bank"
32,"money, issue, delay, crashes, bank, works, app, great"
33,"perform, minutes, year, fails, disappointing, app, using, time"
34,"transaction, use, fast, secure, dashen, easy, app, super"
35,"app, banking, thing, add, easier, just, makes, life"
36,"takes, times, service, services, making, transactions, load, experience"
37,"financial, meets, really, supper, app, dashen, bank, like"
38,"days, boa, send, money, previous, experience, transactions, product"
39,"allowed, update, turn, phone, use, option, developer, app"
40,"features, advanced, bug, update, keeps, getting, says, app"
41,"bugs, improve, isn, error, working, need, open, app"
42,"using, support, day, abyssinia, really, bank, app, nice"
43,"horrible, bank, dashen, quality, customers, phone, android, app"
44,"friendly, switch, bank, developer, options, recommend, issue, app"
45,"platform, app, user, bank, friendly, dashen, ahead, step"
46,"transaction, biometric, new, hope, app, amole, update, better"
47,"proudly, local, commerce, know, new, don, ethiopian, feature"
48,"developer, phone, far, takes, faster, like, version, app"
49,"sad, use, days, don, user, help, app, working"
50,"superapp, seamless, improved, make, atm, betam, version, time"
51,"check, financial, happy, app, actually, make, like, transfer"
52,"save, bank, password, says, app, page, fantastic, ok"
53,"ብቻ, apps, time, banking, mobile, send, money, app"
54,"አይሰራም, አፕ, እና, ያለ, plus, allow, app, good"
55,"reliable, dashen, user, convenient, features, friendly, super, app"
56,"balance, friendly, upgrade, features, user, app, fast, reliable"
57,"latest, screenshots, bank, super, app, exellent, available, banking"
58,"appreciate, functioning, great, features, ve, banking, developer, app"
59,"need, want, poorest, app, transactions, make, mobile, banking"
60,"budgeting, chat, ve, dashen, bank, banking, super, app"
