bank,rating,mean_sentiment,review_count
Bank of Abyssinia,1,-0.2632794457274827,433
Bank of Abyssinia,2,0.0,32
Bank of Abyssinia,3,0.4,70
Bank of Abyssinia,4,0.5641025641025641,39
Bank of Abyssinia,5,0.6301369863013698,438
Commercial Bank of Ethiopia,1,-0.027777777777777776,108
Commercial Bank of Ethiopia,2,0.05555555555555555,36
Commercial Bank of Ethiopia,3,0.3103448275862069,58
Commercial Bank of Ethiopia,4,0.5531914893617021,94
Commercial Bank of Ethiopia,5,0.7612137203166227,758
Dashen Bank,1,-0.11764705882352941,68
Dashen Bank,2,-0.08571428571428572,35
Dashen Bank,3,0.6666666666666666,24
Dashen Bank,4,0.5416666666666666,48
Dashen Bank,5,0.8060941828254847,722
