date,bank,sentiment
2020-08-08,Commercial Bank of Ethiopia,1.0
2020-09-09,Commercial Bank of Ethiopia,0.0
2020-10-17,Commercial Bank of Ethiopia,0.0
2021-02-11,Commercial Bank of Ethiopia,0.0
2021-02-14,Commercial Bank of Ethiopia,0.0
2021-05-19,Commercial Bank of Ethiopia,0.0
2021-08-15,Commercial Bank of Ethiopia,1.0
2021-10-11,Commercial Bank of Ethiopia,0.0
2021-10-18,Commercial Bank of Ethiopia,0.0
2021-10-19,Commercial Bank of Ethiopia,0.0
2022-03-19,Commercial Bank of Ethiopia,1.0
2022-06-01,Commercial Bank of Ethiopia,1.0
2022-06-02,Commercial Bank of Ethiopia,0.0
2022-08-31,Commercial Bank of Ethiopia,1.0
2022-11-29,Commercial Bank of Ethiopia,1.0
2023-04-06,Commercial Bank of Ethiopia,1.0
2023-05-18,Commercial Bank of Ethiopia,0.0
2023-06-22,Commercial Bank of Ethiopia,0.0
2023-09-01,Commercial Bank of Ethiopia,0.0
2023-12-07,Commercial Bank of Ethiopia,0.0
2024-01-14,Commercial Bank of Ethiopia,0.0
2024-02-11,Commercial Bank of Ethiopia,1.0
2024-02-13,Commercial Bank of Ethiopia,0.0
2024-02-16,Bank of Abyssinia,1.0
2024-02-21,Commercial Bank of Ethiopia,1.0
2024-02-25,Commercial Bank of Ethiopia,1.0
2024-03-10,Commercial Bank of Ethiopia,1.0
2024-03-26,Commercial Bank of Ethiopia,1.0
2024-04-18,Commercial Bank of Ethiopia,0.0
2024-04-21,Commercial Bank of Ethiopia,0.0
2024-04-25,Bank of Abyssinia,0.0
2024-04-25,Commercial Bank of Ethiopia,1.0
2024-04-27,Bank of Abyssinia,0.0
2024-05-01,Bank of Abyssinia,0.0
2024-05-03,Commercial Bank of Ethiopia,0.0
2024-05-04,Bank of Abyssinia,1.0
2024-05-21,Bank of Abyssinia,0.0
2024-05-26,Bank of Abyssinia,1.0
2024-05-28,Bank of Abyssinia,-0.5
2024-05-29,Bank of Abyssinia,0.0
2024-05-30,Bank of Abyssinia,-1.0
2024-05-31,Bank of Abyssinia,0.5
2024-06-01,Bank of Abyssinia,0.0
2024-06-02,Bank of Abyssinia,1.0
2024-06-03,Bank of Abyssinia,-1.0
2024-06-04,Bank of Abyssinia,0.3333333333333333
2024-06-05,Bank of Abyssinia,0.0
2024-06-06,Bank of Abyssinia,0.0
2024-06-07,Bank of Abyssinia,1.0
2024-06-09,Bank of Abyssinia,0.0
2024-06-10,Bank of Abyssinia,-0.3333333333333333
2024-06-11,Bank of Abyssinia,-0.3333333333333333
2024-06-12,Bank of Abyssinia,0.0
2024-06-13,Bank of Abyssinia,-0.5
2024-06-14,Bank of Abyssinia,1.0
2024-06-16,Bank of Abyssinia,0.0
2024-06-17,Bank of Abyssinia,0.3333333333333333
2024-06-19,Bank of Abyssinia,1.0
2024-06-20,Bank of Abyssinia,-0.6666666666666666
2024-06-24,Bank of Abyssinia,0.5
2024-06-25,Bank of Abyssinia,0.0
2024-06-26,Bank of Abyssinia,-0.5
2024-06-27,Bank of Abyssinia,0.3333333333333333
2024-06-27,Commercial Bank of Ethiopia,0.0
2024-06-29,Bank of Abyssinia,1.0
2024-06-30,Bank of Abyssinia,0.0
2024-06-30,Commercial Bank of Ethiopia,0.0
2024-07-01,Bank of Abyssinia,1.0
2024-07-02,Bank of Abyssinia,1.0
2024-07-03,Bank of Abyssinia,1.0
2024-07-04,Bank of Abyssinia,0.0
2024-07-05,Bank of Abyssinia,0.0
2024-07-06,Bank of Abyssinia,0.0
2024-07-07,Bank of Abyssinia,1.0
2024-07-08,Bank of Abyssinia,0.0
2024-07-09,Bank of Abyssinia,0.0
2024-07-10,Bank of Abyssinia,-0.3333333333333333
2024-07-11,Bank of Abyssinia,-0.4
2024-07-12,Bank of Abyssinia,0.25
2024-07-13,Bank of Abyssinia,-0.16666666666666666
2024-07-14,Bank of Abyssinia,0.0
2024-07-15,Bank of Abyssinia,-0.5384615384615384
2024-07-16,Bank of Abyssinia,0.0
2024-07-18,Bank of Abyssinia,1.0
2024-07-19,Bank of Abyssinia,0.3333333333333333
2024-07-21,Bank of Abyssinia,0.0
2024-07-22,Bank of Abyssinia,0.0
2024-07-23,Bank of Abyssinia,-0.14285714285714285
2024-07-23,Commercial Bank of Ethiopia,1.0
2024-07-24,Bank of Abyssinia,0.5
2024-07-25,Bank of Abyssinia,-0.5
2024-07-26,Bank of Abyssinia,0.0
