review,rating,date,bank,source,language,sentiment,identified_themes,dominant_topic
love,3,2025-06-06,DASHEN BANK,Google Play,en,1,Other,Topic_1
መቸሸጠ,5,2025-06-03,DASHEN BANK,Google Play,en,0,Other,Topic_1
wow,5,2025-06-03,DASHEN BANK,Google Play,en,1,Other,Topic_3
gadaa,5,2025-06-01,DASHEN BANK,Google Play,en,0,Other,Topic_1
Massive upgrade from the Amole app.,5,2025-05-31,DASHEN BANK,Google Play,en,0,Other,Topic_4
good,4,2025-05-31,DASHEN BANK,Google Play,en,1,Other,Topic_2
very good for this app,5,2025-05-31,DASHEN BANK,Google Play,en,1,Other,Topic_2
top,5,2025-05-31,DASHEN BANK,Google Play,en,1,Other,Topic_1
this app better than Amole . but the biometric on new update doesn't work,4,2025-05-31,DASHEN BANK,Google Play,en,1,Other,Topic_3
Wow,5,2025-05-30,DASHEN BANK,Google Play,en,1,Other,Topic_3
good,5,2025-05-30,DASHEN BANK,Google Play,en,1,Other,Topic_2
wow to it saff and this app,5,2025-05-30,DASHEN BANK,Google Play,en,1,Other,Topic_3
it too slow,3,2025-05-29,DASHEN BANK,Google Play,en,0,Transaction Performance,Topic_2
ዳሽን ባንክ ይለያል,4,2025-05-28,DASHEN BANK,Google Play,en,0,Other,Topic_1
real life changer,5,2025-05-28,DASHEN BANK,Google Play,en,0,Other,Topic_1
👍👍👍,5,2025-05-28,DASHEN BANK,Google Play,en,0,Other,Topic_1
good,5,2025-05-28,DASHEN BANK,Google Play,en,1,Other,Topic_2
nice application,5,2025-05-27,DASHEN BANK,Google Play,en,1,Other,Topic_1
good,5,2025-05-27,DASHEN BANK,Google Play,en,1,Other,Topic_2
wow,5,2025-05-27,DASHEN BANK,Google Play,en,1,Other,Topic_3
useless app ever loading take long,1,2025-05-27,DASHEN BANK,Google Play,en,-1,Other,Topic_2
"Game changer app! Dashen Bank Super App is fast, secure, and easy to use. The three-click payment makes sending money super quick, and the QR code payment is perfect for cashless shopping. I also love the biometric login and easy airtime and bill payments. Everything I need is in one place. Dashen Bank has really raised the bar for digital banking in Ethiopia. Highly recommended!",5,2025-05-26,DASHEN BANK,Google Play,en,1,"Account Access Issues, User Interface & Experience",Topic_1
very useful App,1,2025-05-26,DASHEN BANK,Google Play,en,1,Other,Topic_3
"Simple, robust features? Yes, please! But the endless loading screen killed the fun—I couldn’t use it for days. Fix the glitch, and I’ll yeet a higher rating!",2,2025-05-26,DASHEN BANK,Google Play,en,-1,Feature Requests,Topic_2
Wawww,5,2025-05-24,DASHEN BANK,Google Play,en,0,Other,Topic_1
it is good but some times says duplicate transaction why?,5,2025-05-24,DASHEN BANK,Google Play,en,1,Other,Topic_5
very Nice,5,2025-05-23,DASHEN BANK,Google Play,en,1,Other,Topic_1
its best,5,2025-05-23,DASHEN BANK,Google Play,en,1,Other,Topic_5
it is not as good as to the other mobile bank app.,1,2025-05-22,DASHEN BANK,Google Play,en,-1,Other,Topic_2
"The best of best is now arrived **Empowering Your Financial Freedom** ""Experience seamless banking at your fingertips with Dashen Bank. Empowering your financial freedom, anytime, anywhere!"" **Innovation Meets Convenience** ""Dashen Bank Mobile Banking: Where innovation meets convenience. **Secure and Reliable** ""Bank with confidence",5,2025-05-22,DASHEN BANK,Google Play,en,1,Other,Topic_1
wow,5,2025-05-20,DASHEN BANK,Google Play,en,1,Other,Topic_3
